YEAR	DECJAN	JANFEB	FEBMAR	MARAPR	APRMAY	MAYJUN	JUNJUL	JULAUG	AUGSEP	SEPOCT	OCTNOV	NOVDEC
1933	-.059	-.126	-.396	-.497	-.388	-.671	-.769	-.827	-1.014	-1.001	-.987	-1.093
1934	-1.251	-1.214	-1.007	-.651	-.246	-.074	-.133	-.174	.037	.114	-.084	-.141
1935	-.197	-.331	-.511	-.508	-.11	.096	-.055	.017	.322	.412	.364	.372
1936	.193	.156	.319	.44	.513	.474	.292	.249	.206	.138	.258	.361
1937	.34	.206	.218	.082	-.13	-.277	-.292	-.071	.186	.26	.157	-.081
1938	-.277	-.408	-.477	-.68	-.971	-1.035	-1.25	-1.392	-1.198	-.787	-.595	-.714
1939	-.786	-.824	-.979	-.93	-.433	.033	.269	.579	.877	.715	.313	.313
1940	.658	.921	1.163	1.419	1.441	1.419	1.352	1.119	.988	.965	.873	.967
1941	1.35	1.55	1.793	2.07	2.269	2.001	1.496	1.522	1.514	1.435	1.629	1.605
1942	1.324	1.029	.87	.798	.41	-.262	-.706	-.879	-.908	-.968	-1.089	-1.165
1943	-1.257	-1.166	-.846	-.463	-.004	.375	.504	.145	-.179	-.363	-.428	-.347
1944	-.289	-.035	.22	.258	.239	.161	.108	.029	-.257	-.273	-.256	-.425
1945	-.395	-.41	-.471	-.425	-.193	.024	-.362	-.645	-.462	-.01	.234	-.018
1946	-.213	-.247	-.223	-.158	-.214	-.193	-.072	-.043	.141	.36	.33	.212
1947	.197	.111	-.116	-.301	-.382	-.157	-.177	-.476	-.633	-.67	-.541	-.406
1948	-.063	.326	.606	.569	.259	.18	.067	-.042	-.027	-.083	-.279	-.175
1949	.066	-.063	-.252	-.133	.194	.007	-.519	-.698	-.611	-.726	-.957	-.924
1950	-.941	-1.131	-1.347	-1.377	-1.282	-1.232	-1.538	-1.797	-1.433	-1.03	-1.109	-1.378
1951	-1.264	-1.18	-1.176	-.795	-.13	.382	.782	1.116	1.233	1.04	.867	.738
1952	.613	.565	.449	.437	.434	.017	-.303	-.251	.004	.178	-.035	-.119
1953	.154	.403	.59	.69	.758	.581	.31	.447	.778	.568	.104	.138
1954	.103	-.137	-.024	.137	-.065	-.419	-.838	-1.041	-.962	-.954	-1.049	-1.155
1955	-.955	-.858	-1.147	-1.292	-1.497	-1.887	-1.749	-1.543	-1.647	-1.96	-2.081	-1.965
1956	-1.763	-1.614	-1.532	-1.329	-1.366	-1.538	-1.371	-.898	-.754	-.95	-1.076	-.947
1957	-.736	-.387	.049	.41	.792	1.371	1.628	1.551	1.436	1.152	1.157	1.312
1958	1.478	1.549	1.505	1.38	1.5	1.602	1.419	1.02	.604	.424	.373	.534
1959	.639	.747	.86	.748	.797	.864	.549	.308	.232	.142	.048	-.125
1960	-.07	.073	.106	.167	.177	.071	-.078	-.303	-.253	-.256	-.286	-.197
1961	-.011	.016	-.065	.156	.273	.193	.087	.108	.006	-.396	-.508	-.526
1962	-.894	-.891	-.434	-.436	-.975	-.894	-.408	-.408	-.534	-.59	-.616	-.3
1963	-.371	-.579	-.461	-.233	.037	.232	.508	.91	1.059	1.11	1.07	.974
1964	.933	.73	.25	-.349	-.827	-1.093	-1.277	-1.289	-1.191	-1.171	-1.059	-.895
1965	-.66	-.333	-.132	.076	.519	1.025	1.363	1.731	1.73	1.42	1.523	1.726
1966	1.682	1.526	1.213	.889	.823	.648	.357	.264	.076	-.05	.07	.023
1967	-.208	-.501	-.753	-.727	-.55	-.582	-.741	-.828	-.837	-.785	-.591	-.372
1968	-.456	-.62	-.658	-.759	-.733	-.525	-.544	-.338	.204	.619	.726	.655
1969	.755	1.04	1.027	.941	1.092	1.219	1.077	.906	.857	.831	.76	.744
1970	.675	.575	.439	.309	.09	-.501	-1.153	-1.347	-1.228	-1.1	-1.06	-1.128
1971	-1.281	-1.563	-1.873	-1.979	-1.764	-1.534	-1.304	-1.041	-1.296	-1.398	-1.102	-.986
1972	-.651	-.258	-.146	.08	.751	1.546	2.087	2.209	2.068	1.88	1.844	2.008
1973	2.023	1.756	1.303	.743	.154	-.52	-1.077	-1.363	-1.664	-1.742	-1.591	-1.768
1974	-2.024	-2.188	-2.088	-1.802	-1.241	-.821	-.976	-.858	-.543	-.815	-1.094	-1.033
1975	-.703	-.479	-.625	-.953	-1.083	-1.168	-1.408	-1.744	-2.055	-2.27	-2.19	-1.909
1976	-1.764	-1.626	-1.459	-1.289	-.777	-.007	.674	.771	.948	1.272	.982	.731
